service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,reliability_percentage
2023-04-27,553,553,Express Bus,Other Bus,Bus,PEAK,53.65853658536586
2023-04-26,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,40.21739130434783
2023-04-26,553,553,Express Bus,Other Bus,Bus,PEAK,51.21951219512195
2023-04-25,553,553,Express Bus,Other Bus,Bus,PEAK,53.48837209302325
2023-04-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,57.291666666666664
2023-04-24,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,53.2608695652174
2023-04-24,553,553,Express Bus,Other Bus,Bus,PEAK,51.28205128205128
2023-04-22,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,79.3103448275862
2023-04-21,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,52.94117647058824
2023-04-21,553,553,Express Bus,Other Bus,Bus,PEAK,35.483870967741936
2023-04-20,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,46.15384615384615
2023-04-20,553,553,Express Bus,Other Bus,Bus,PEAK,54.054054054054056
2023-04-18,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,40.65934065934066
2023-04-18,553,553,Express Bus,Other Bus,Bus,PEAK,65.78947368421053
2023-04-17,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.06451612903226
2023-04-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,75.0
2023-04-14,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,42.22222222222222
2023-04-14,553,553,Express Bus,Other Bus,Bus,PEAK,57.14285714285714
2023-04-13,553,553,Express Bus,Other Bus,Bus,PEAK,60.0
2023-04-13,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.756097560975604
2023-04-11,553,553,Express Bus,Other Bus,Bus,PEAK,79.41176470588235
2023-04-11,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.183673469387756
2023-04-12,553,553,Express Bus,Other Bus,Bus,PEAK,66.66666666666666
2023-04-12,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,63.44086021505376
2023-04-10,553,553,Express Bus,Other Bus,Bus,PEAK,47.22222222222222
2023-04-10,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,47.31182795698925
2023-04-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,77.04918032786885
2023-04-07,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,51.76470588235295
2023-04-07,553,553,Express Bus,Other Bus,Bus,PEAK,62.16216216216216
2023-04-06,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,44.047619047619044
2023-04-06,553,553,Express Bus,Other Bus,Bus,PEAK,46.42857142857143
2023-04-04,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,44.827586206896555
2023-04-04,553,553,Express Bus,Other Bus,Bus,PEAK,41.17647058823529
2023-04-05,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,62.96296296296296
2023-04-05,553,553,Express Bus,Other Bus,Bus,PEAK,70.0
2023-04-03,553,553,Express Bus,Other Bus,Bus,PEAK,62.16216216216216
2023-04-03,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,52.38095238095239
2023-04-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,68.33333333333333
2023-03-31,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,46.236559139784944
2023-03-31,553,553,Express Bus,Other Bus,Bus,PEAK,41.46341463414634
2023-03-30,553,553,Express Bus,Other Bus,Bus,PEAK,58.97435897435898
2023-03-30,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,64.13043478260869
2023-03-29,553,553,Express Bus,Other Bus,Bus,PEAK,58.97435897435898
2023-03-29,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,55.434782608695656
2023-03-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.63829787234043
2023-03-28,553,553,Express Bus,Other Bus,Bus,PEAK,64.28571428571429
2023-03-27,553,553,Express Bus,Other Bus,Bus,PEAK,76.74418604651163
2023-03-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,64.94845360824742
2023-03-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.65573770491803
2023-03-24,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.82352941176471
2023-03-24,553,553,Express Bus,Other Bus,Bus,PEAK,62.857142857142854
2023-03-23,553,553,Express Bus,Other Bus,Bus,PEAK,54.761904761904766
2023-03-23,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,61.1764705882353
2023-03-21,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.38709677419355
2023-03-21,553,553,Express Bus,Other Bus,Bus,PEAK,65.0
2023-03-20,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,42.04545454545455
2023-03-20,553,553,Express Bus,Other Bus,Bus,PEAK,54.054054054054056
2023-03-18,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-03-17,553,553,Express Bus,Other Bus,Bus,PEAK,69.23076923076923
2023-03-17,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,54.44444444444444
2023-03-16,553,553,Express Bus,Other Bus,Bus,PEAK,57.14285714285714
2023-03-16,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.06451612903226
2023-03-15,553,553,Express Bus,Other Bus,Bus,PEAK,76.92307692307693
2023-03-15,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.666666666666664
2023-03-14,553,553,Express Bus,Other Bus,Bus,PEAK,52.77777777777778
2023-03-14,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.57471264367817
2023-03-13,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,60.0
2023-03-13,553,553,Express Bus,Other Bus,Bus,PEAK,72.97297297297297
2023-03-10,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-03-10,553,553,Express Bus,Other Bus,Bus,PEAK,61.53846153846154
2023-03-09,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,56.98924731182796
2023-03-09,553,553,Express Bus,Other Bus,Bus,PEAK,62.5
2023-03-07,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.0
2023-03-07,553,553,Express Bus,Other Bus,Bus,PEAK,48.717948717948715
2023-03-08,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,50.54945054945055
2023-03-08,553,553,Express Bus,Other Bus,Bus,PEAK,21.62162162162162
2023-03-06,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,57.30337078651685
2023-03-06,553,553,Express Bus,Other Bus,Bus,PEAK,43.24324324324324
2023-03-04,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,59.32203389830508
2023-03-03,553,553,Express Bus,Other Bus,Bus,PEAK,29.03225806451613
2023-03-03,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,42.25352112676056
2023-03-02,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,58.22784810126582
2023-03-02,553,553,Express Bus,Other Bus,Bus,PEAK,63.33333333333333
2023-02-28,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,43.02325581395349
2023-03-01,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,48.31460674157304
2023-03-01,553,553,Express Bus,Other Bus,Bus,PEAK,57.14285714285714
2023-02-27,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,41.11111111111111
2023-02-27,553,553,Express Bus,Other Bus,Bus,PEAK,31.428571428571427
2023-02-28,553,553,Express Bus,Other Bus,Bus,PEAK,41.17647058823529
2023-02-25,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,80.0
2023-02-24,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,61.53846153846154
2023-02-24,553,553,Express Bus,Other Bus,Bus,PEAK,61.53846153846154
2023-02-23,553,553,Express Bus,Other Bus,Bus,OFF_PEAK,49.35064935064935
